Time ms, Eeg TP9, Eeg TP10, Eeg FP1, Eeg FP2, AlphaAbs TP9, AlphaAbs TP10, AlphaAbs FP1, AlphaAbs FP2, BetaAbs TP9, BetaAbs TP10, BetaAbs FP1, BetaAbs FP2, Delta TP9, Delta TP10, Delta FP1, Delta FP2, GammaAbs TP9, GammaAbs TP10, GammaAbs FP1,GammaAbs FP2, ThetaAbs TP9, ThetaAbs TP10, ThetaAbs FP1, ThetaAbs FP2, Horseshoe tp9, Horseshoe1, Horseshoe2, Horseshoe4 
3816,0.889934365,0.809330329,0.806040368,0.835650014,0.057965409,-0.023684921,-0.563706797,-0.677799121,0.131576936,-0.293670024,-0.485436323,-0.735928147,0.601602961,0.30693712,-0.080159978,-0.115595617,-0.334703811,-0.796507955,-0.387638036,-1.005746669,-0.334703811,-0.796507955,-0.387638036,-1.005746669,1,1,1,1
3924,0.875129542,0.845519896,0.81591025,0.829070093,0.057965409,-0.038313905,-0.563706797,-0.703280386,0.131576936,-0.285317975,-0.536915886,-0.733554161,0.601602961,0.340504196,-0.042452306,-0.072431938,-0.334703811,-0.787059345,-0.46357833,-1.019741642,-0.334703811,-0.787059345,-0.46357833,-1.019741642,1,1,1,1
4073,0.86690464,0.835650014,0.812620289,0.822490171,0.057965409,-0.042728592,-0.563706797,-0.709143078,0.131576936,-0.275259617,-0.564319516,-0.722062017,0.601602961,0.384779755,0.00937175,-0.021318392,-0.334703811,-0.779563263,-0.514177987,-1.020292633,-0.334703811,-0.779563263,-0.514177987,-1.020292633,1,1,1,1
4120,0.86361468,0.829070093,0.819200211,0.81591025,0.057965409,-0.042728592,-0.563706797,-0.636076619,0.131576936,-0.263148103,-0.573835346,-0.698700224,0.601602961,0.436604411,0.066183656,0.032449455,-0.334703811,-0.773814585,-0.536630239,-0.998693682,-0.334703811,-0.773814585,-0.536630239,-0.998693682,1,1,1,1
4182,0.860324719,0.822490171,0.81755523,0.810975309,0.057965409,-0.042728592,-0.560914871,-0.489225702,0.131576936,-0.263148103,-0.573590781,-0.657947209,0.601602961,0.436604411,0.119062436,0.085433262,-0.334703811,-0.773814585,-0.538165789,-0.950690058,-0.334703811,-0.773814585,-0.538165789,-0.950690058,1,1,1,1
4330,0.896514287,0.799460446,0.819200211,0.807685348,0.057965409,-0.042728592,-0.560914871,-0.354615115,0.131576936,-0.263148103,-0.565571841,-0.602457327,0.601602961,0.436604411,0.162119938,0.134041376,-0.334703811,-0.773814585,-0.527196095,-0.88379155,-0.334703811,-0.773814585,-0.527196095,-0.88379155,1,1,1,1
4413,0.848809857,0.802750407,0.809330329,0.824135152,0.057965409,-0.042728592,-0.559414503,-0.296082392,0.131576936,-0.263148103,-0.551186391,-0.541690412,0.601602961,0.436604411,0.193110131,0.173860623,-0.334703811,-0.773814585,-0.510781745,-0.8129438,-0.334703811,-0.773814585,-0.510781745,-0.8129438,1,1,1,1
4493,0.873484562,0.850454837,0.822490171,0.812620289,0.057965409,-0.042728592,-0.557030387,-0.278478845,0.131576936,-0.263148103,-0.533495402,-0.489020336,0.601602961,0.436604411,0.210587634,0.205974583,-0.334703811,-0.773814585,-0.49337476,-0.750579703,-0.334703811,-0.773814585,-0.49337476,-0.750579703,1,1,1,1
4618,0.86690464,0.873484562,0.810975309,0.758335938,0.057965409,-0.042728592,-0.557086134,-0.270625796,0.131576936,-0.263148103,-0.515642969,-0.450974018,0.601602961,0.436604411,0.216759867,0.229597436,-0.334703811,-0.773814585,-0.47746791,-0.701945893,-0.334703811,-0.773814585,-0.47746791,-0.701945893,1,1,1,1
4695,0.891579346,0.884999424,0.820845191,0.758335938,0.057965409,-0.042728592,-0.600273914,-0.267615937,0.131576936,-0.263148103,-0.498721664,-0.423395067,0.601602961,0.436604411,0.214560551,0.250055267,-0.334703811,-0.773814585,-0.463147524,-0.664959014,-0.334703811,-0.773814585,-0.463147524,-0.664959014,1,1,1,1
