Time ms,AlphaAbs0,AlphaAbs1,AlphaAbs2,AlphaAbs3, BetaAbs0, BetaAbs1, BetaAbs2, BetaAbs3, DeltaAbs0, DeltaAbs1, DeltaAbs2, DeltaAbs3, GammaAbs0, GammaAbs1, GammaAbs2, GammaAbs3, ThetaAbs0, ThetaAbs1, ThetaAbs2, ThetaAbs3, Horseshoe0, Horseshoe1, Horseshoe2, Horseshoe4 
4605,0,-0.01126521,0,0,0,-0.197725115,0,0,0,0.597851391,0,0,0,-0.359051687,0,0,0,-0.359051687,0,0,1,1,2,1
4681,0,-0.01126521,0,0,0,-0.1966267,0,0,0,0.526015178,0,0,0,-0.309301512,0,0,0,-0.309301512,0,0,1,1,1,1
4843,0,-0.01126521,0,0,0,-0.199044493,0,0,0,0.418693312,0,0,0,-0.272959963,0,0,0,-0.272959963,0,0,1,1,1,1
4896,0,-0.01126521,0,0,0,-0.202951155,0,0,0,0.281746635,0,0,0,-0.248316722,0,0,0,-0.248316722,0,0,1,1,1,1
5034,0,-0.01126521,0,0,0,-0.204841692,0,0,0,0.138023795,0,0,0,-0.232283551,0,0,0,-0.232283551,0,0,2,1,1,2
5167,0,-0.01126521,0,0,0,-0.201229537,0,0,0,0.031258085,0,0,0,-0.221069966,0,0,0,-0.221069966,0,0,2,1,1,2
5200,0,-0.01126521,0,0,0,-0.190144324,0,0,0,-0.015794275,0,0,0,-0.211230626,0,0,0,-0.211230626,0,0,2,1,1,2
5344,0,-0.01126521,0,0,0,-0.173846796,0,0,0,-0.026102804,0,0,0,-0.199603755,0,0,0,-0.199603755,0,0,2,1,1,2
5406,0,-0.007225052,0,0,0,-0.157401328,0,0,0,-0.031239727,0,0,0,-0.186013574,0,0,0,-0.186013574,0,0,2,1,1,2
5485,0,1.61E-04,0,0,0,-0.145260909,0,0,0,-0.043670428,0,0,0,-0.172740076,0,0,0,-0.172740076,0,0,2,1,1,2
5633,0,-0.011766709,-0.261859487,0,0,-0.139006591,-0.077016989,0,0,-0.061558924,0.43806857,0,0,-0.163289076,-0.627478771,0,0,-0.163289076,-0.627478771,0,2,1,1,2
5690,0,-0.045377962,-0.260693412,0,0,-0.136389048,-0.113862596,0,0,-0.080076336,0.414793289,0,0,-0.161305272,-0.62837739,0,0,-0.161305272,-0.62837739,0,2,1,1,2
5766,0,-0.083716083,-0.260693412,0,0,-0.134170703,-0.142236656,0,0,-0.090934399,0.388298084,0,0,-0.169373634,-0.63352085,0,0,-0.169373634,-0.63352085,0,2,1,1,2
5929,0,-0.103324442,-0.255114418,0,0,-0.130223714,-0.162588337,0,0,-0.092115078,0.360003275,0,0,-0.18867956,-0.639805268,0,0,-0.18867956,-0.639805268,0,2,1,1,2
6008,0,-0.111599989,-0.243167734,0,0,-0.124485355,-0.178017361,0,0,-0.088617527,0.330769048,0,0,-0.218347894,-0.643733537,0,0,-0.218347894,-0.643733537,0,2,1,1,2
6127,0,-0.111599989,-0.214267023,0,0,-0.121120223,-0.193254912,0,0,-0.079373498,0.301049756,0,0,-0.255615922,-0.644695955,0,0,-0.255615922,-0.644695955,0,2,1,1,2
6240,0,-0.111599989,-0.161007643,0,0,-0.113683628,-0.208825101,0,0,-0.082623383,0.281685404,0,0,-0.280080736,-0.643760401,0,0,-0.280080736,-0.643760401,0,2,1,1,2
6279,0,-0.111599989,-0.101939921,0,0,-0.113150737,-0.221340621,0,0,-0.098722303,0.299014095,0,0,-0.302580799,-0.643263409,0,0,-0.302580799,-0.643263409,0,2,1,1,2
6444,0,-0.111599989,-0.014134295,0,0,-0.121513004,-0.22735115,0,0,-0.129464423,0.3709355,0,0,-0.32025705,-0.643040912,0,0,-0.32025705,-0.643040912,0,2,1,1,2
6499,0,-0.111599989,-0.014134295,0,0,-0.139316547,-0.22735115,0,0,-0.173563779,0.3709355,0,0,-0.333448169,-0.643040912,0,0,-0.333448169,-0.643040912,0,2,1,1,2
6586,0,-0.111599989,-0.023358891,0,0,-0.165320522,-0.257970489,0,0,-0.228846309,0.358812029,0,0,-0.345041523,-0.645029152,0,0,-0.345041523,-0.645029152,0,2,1,1,2
6704,0,-0.111599989,-0.025168544,0,0,-0.197805549,-0.297285521,0,0,-0.291230796,0.347462736,0,0,-0.357916744,-0.644976458,0,0,-0.357916744,-0.644976458,0,2,1,1,2
6826,0,-0.111599989,-0.028705391,0,0,-0.233161892,-0.337456644,0,0,-0.350150658,0.33600491,0,0,-0.376131717,-0.644042971,0,0,-0.376131717,-0.644042971,0,2,1,1,2
6862,0,-0.111599989,-0.044435163,0,0,-0.265360765,-0.369360591,0,0,-0.383214352,0.323989554,0,0,-0.401476604,-0.645321375,0,0,-0.401476604,-0.645321375,0,2,1,1,2
7023,0,-0.121743045,-0.044435163,0,0,-0.286711697,-0.386703103,0,0,-0.375499677,0.31477867,0,0,-0.433228313,-0.649590204,0,0,-0.433228313,-0.649590204,0,2,1,1,2
7076,0,-0.121743045,-0.049576808,0,0,-0.286711697,-0.388639677,0,0,-0.375499677,0.312757193,0,0,-0.433228313,-0.655089757,0,0,-0.433228313,-0.655089757,0,2,1,1,2
7236,0,-0.121743045,-0.053925979,0,0,-0.286711697,-0.381409744,0,0,-0.375499677,0.322145978,0,0,-0.433228313,-0.658216886,0,0,-0.433228313,-0.658216886,0,2,1,1,2
7312,0,-0.121743045,-0.0584849,0,0,-0.286711697,-0.375283416,0,0,-0.375499677,0.346649861,0,0,-0.433228313,-0.656067913,0,0,-0.433228313,-0.656067913,0,2,1,1,2
7388,0,-0.121743045,-0.0584849,0,0,-0.286711697,-0.363320473,0,0,-0.375499677,0.368230392,0,0,-0.433228313,-0.605414009,0,0,-0.433228313,-0.605414009,0,2,1,1,2
7525,0,-0.121743045,-0.071768209,0,0,-0.286711697,-0.367435305,0,0,-0.375499677,0.372726997,0,0,-0.433228313,-0.571983407,0,0,-0.433228313,-0.571983407,0,2,1,1,2
7600,0,-0.121743045,-0.083244709,0,0,-0.286711697,-0.373441642,0,0,-0.375499677,0.375644474,0,0,-0.433228313,-0.560303468,0,0,-0.433228313,-0.560303468,0,2,1,1,2
7676,0,-0.121743045,-0.077172784,0,0,-0.286711697,-0.376876594,0,0,-0.375499677,0.365835178,0,0,-0.433228313,-0.565128202,0,0,-0.433228313,-0.565128202,0,2,1,1,2
7815,0,-0.662192435,-0.077172784,0,0,-0.839888492,-0.384585343,0,0,0.188817179,0.294284878,0,0,-1.007076291,-0.575474804,0,0,-1.007076291,-0.575474804,0,2,1,1,2
7889,0,-0.61147466,-0.545264578,0,0,-0.84053554,-0.412128096,0,0,0.159019652,-0.008210161,0,0,-1.00596354,-0.587195229,0,0,-1.00596354,-0.587195229,0,2,1,1,2
7955,0,-0.555243296,-0.530178643,0,0,-0.83583872,-0.428013163,0,0,0.127350697,0.004556425,0,0,-1.009337078,-0.6082415,0,0,-1.009337078,-0.6082415,0,2,1,1,2
8114,0,-0.509417755,-0.527278676,0,0,-0.828758027,-0.448584781,0,0,0.102047348,0.00661336,0,0,-1.016464097,-0.629440209,0,0,-1.016464097,-0.629440209,0,2,1,1,2
8170,0,-0.485026528,-0.52424912,0,0,-0.823927706,-0.471755687,0,0,0.086229579,8.99E-04,0,0,-1.026247579,-0.651046218,0,0,-1.026247579,-0.651046218,0,2,1,1,2
8334,0,-0.485026528,-0.511531147,0,0,-0.825848115,-0.492835984,0,0,0.077539065,0.001277012,0,0,-1.039029353,-0.671425501,0,0,-1.039029353,-0.671425501,0,2,1,1,2
8410,0,-0.485026528,-0.511531147,0,0,-0.833326154,-0.506623913,0,0,0.071644214,0.013885361,0,0,-1.054424355,-0.687126536,0,0,-1.054424355,-0.687126536,0,2,1,1,2
8488,0,-0.485026528,-0.511531147,0,0,-0.842090091,-0.510612887,0,0,0.064693704,0.041060669,0,0,-1.071687286,-0.69620091,0,0,-1.071687286,-0.69620091,0,2,1,1,2
8631,0,-0.485026528,-0.495200597,0,0,-0.847977475,-0.503398744,0,0,0.054518347,0.090451183,0,0,-1.088808172,-0.698525848,0,0,-1.088808172,-0.698525848,0,1,1,1,1
8685,0,-0.485026528,-0.344295362,0,0,-0.848954708,-0.486361798,0,0,0.042182216,0.173508038,0,0,-1.103475341,-0.696865892,0,0,-1.103475341,-0.696865892,0,1,1,1,1
8787,0,-0.485026528,-0.202799229,-0.303288776,0,-0.849889166,-0.464562351,-0.132209152,0,0.020865737,0.285001824,0.203072388,0,-1.121405773,-0.695220584,0.314098495,0,-1.121405773,-0.695220584,0.314098495,1,1,1,1
8933,0,-0.485026528,-0.129103135,-0.197558967,0,-0.84677032,-0.455393634,-0.080123836,0,6.12E-04,0.410661371,0.171799169,0,-1.135344134,-0.720284555,0.302915054,0,-1.135344134,-0.720284555,0.302915054,1,1,1,1
8990,0,-0.463484606,-0.123088007,-0.081105494,0,-0.841051076,-0.44407881,-0.035556314,0,-0.012690138,0.531572416,0.161647689,0,-1.147133357,-0.743144949,0.286065471,0,-1.147133357,-0.743144949,0.286065471,1,1,1,1
9090,0,-0.434636639,-0.123088007,-0.005378324,0,-0.83327892,-0.435573907,0.007962804,0,-0.010014888,0.622934741,0.163427536,0,-1.159156095,-0.756932887,0.268450945,0,-1.159156095,-0.756932887,0.268450945,1,1,1,1
9238,0,-0.425701843,-0.123088007,0.05196041,0,-0.821355008,-0.430500076,0.051076388,0,0.009556515,0.680232454,0.160214468,0,-1.173101282,-0.760059219,0.253462716,0,-1.173101282,-0.760059219,0.253462716,1,1,1,1
9275,0,-0.438449013,-0.123088007,0.091143733,0,-0.805034675,-0.427919005,0.091513736,0,0.036714065,0.70927456,0.147387354,0,-1.190502424,-0.755898196,0.242639694,0,-1.190502424,-0.755898196,0.242639694,1,1,1,1
9445,0,-0.44658239,-0.123088007,0.091143733,0,-0.788563533,-0.42453196,0.125837645,0,0.058488252,0.72063073,0.131818459,0,-1.212357694,-0.747578807,0.236346301,0,-1.212357694,-0.747578807,0.236346301,1,1,1,1
9502,0,-0.424505384,-0.123046432,0.098065916,0,-0.77472539,-0.414891272,0.151488332,0,0.06876237,0.723919672,0.121436201,0,-1.236946236,-0.735461549,0.233909092,0,-1.236946236,-0.735461549,0.233909092,1,1,1,1
9592,0,-0.381279136,-0.118772766,0.108126042,0,-0.765403545,-0.39785661,0.169249072,0,0.069472625,0.724582793,0.120210577,0,-1.260978875,-0.720410698,0.23335447,0,-1.260978875,-0.720410698,0.23335447,1,1,1,1
9745,0,-0.35381386,-0.118772766,0.153030113,0,-0.757272069,-0.372384634,0.182330666,0,0.073753693,0.724101411,0.124904431,0,-1.27991063,-0.704948189,0.233757873,0,-1.27991063,-0.704948189,0.233757873,1,1,1,1
9803,0,-0.315628027,-0.118772766,0.211757128,0,-0.745185662,-0.342174091,0.214951473,0,0.0963738,0.722135555,0.075557427,0,-1.290175787,-0.692286306,0.236170804,0,-1.290175787,-0.692286306,0.236170804,1,1,1,1
9864,0,-0.299599191,-0.118772766,0.256304796,0,-0.72721257,-0.311334123,0.245676658,0,0.141430735,0.719089949,0.066462283,0,-1.292966818,-0.68399346,0.234160282,0,-1.292966818,-0.68399346,0.234160282,1,1,1,1
10005,0,-0.291132404,-0.118772766,0.29299775,0,-0.705815343,-0.284742228,0.271071843,0,0.20011509,0.716835343,0.093367155,0,-1.292058976,-0.679705927,0.225574932,0,-1.292058976,-0.679705927,0.225574932,1,1,1,1
10110,0,-0.291132404,-0.118772766,0.307724832,0,-0.686035902,-0.266878914,0.288818667,0,0.258872047,0.713067018,0.142651907,0,-1.290628136,-0.677342489,0.209604244,0,-1.290628136,-0.677342489,0.209604244,1,1,1,1
10170,0,-0.291132404,-0.118772766,0.307724832,0,-0.671139318,-0.259297528,0.297958264,0,0.306649501,0.699413669,0.197157828,0,-1.287887994,-0.674685348,0.188791573,0,-1.287887994,-0.674685348,0.188791573,1,1,1,1
10312,0,-0.250757916,-0.118772766,0.307724832,0,-0.659294326,-0.260156125,0.309775013,0,0.339867458,0.666164332,0.216184316,0,-1.279690332,-0.66798283,0.178732515,0,-1.279690332,-0.66798283,0.178732515,1,1,1,1
10387,0,-0.215582281,-0.114359361,0.307724832,0,-0.644972584,-0.263108859,0.320212362,0,0.361976488,0.606839177,0.232626849,0,-1.264747769,-0.650337024,0.17461415,0,-1.264747769,-0.650337024,0.17461415,1,1,1,1
