Time ms, Eeg TP9, Eeg TP10, Eeg FP1, Eeg FP2, AlphaAbs TP9, AlphaAbs TP10, AlphaAbs FP1, AlphaAbs FP2, BetaAbs TP9, BetaAbs TP10, BetaAbs FP1, BetaAbs FP2, Delta TP9, Delta TP10, Delta FP1, Delta FP2, GammaAbs TP9, GammaAbs TP10, GammaAbs FP1,GammaAbs FP2, ThetaAbs TP9, ThetaAbs TP10, ThetaAbs FP1, ThetaAbs FP2, Horseshoe tp9, Horseshoe1, Horseshoe2, Horseshoe4 
4413,0.8488098567222122,0.8027504071326348,0.8093303285025745,0.8241351515849387,0.057965408505546226,-0.0427285918423414,-0.5594145031918037,-0.29608239185881424,0.13157693560506648,-0.2631481028519129,-0.5511863906283069,-0.541690411941907,0.6016029613038404,0.43660441062224525,0.1931101306702393,0.17386062312202416,-0.3347038108670825,-0.7738145853757565,-0.5107817454315018,-0.8129438001752116,-0.3347038108670825,-0.7738145853757565,-0.5107817454315018,-0.8129438001752116,1,1,1,1
4493,0.8734845618594859,0.8504548370646972,0.8224901712424537,0.8126202891875443,0.057965408505546226,-0.0427285918423414,-0.55703038720368,-0.27847884462195016,0.13157693560506648,-0.2631481028519129,-0.5334954022303525,-0.4890203362642897,0.6016029613038404,0.43660441062224525,0.21058763446466836,0.20597458318297235,-0.3347038108670825,-0.7738145853757565,-0.49337475974284306,-0.7505797027138259,-0.3347038108670825,-0.7738145853757565,-0.49337475974284306,-0.7505797027138259,1,1,1,1
4618,0.8669046404895462,0.8734845618594859,0.8109753088450593,0.7583359378855423,0.057965408505546226,-0.0427285918423414,-0.5570861344765066,-0.27062579640547535,0.13157693560506648,-0.2631481028519129,-0.5156429692349854,-0.45097401761807965,0.6016029613038404,0.43660441062224525,0.21675986696665417,0.22959743613512745,-0.3347038108670825,-0.7738145853757565,-0.47746791018558127,-0.7019458926637353,-0.3347038108670825,-0.7738145853757565,-0.47746791018558127,-0.7019458926637353,1,1,1,1
4695,0.8915793456268198,0.8849994242568802,0.8208451908999688,0.7583359378855423,0.057965408505546226,-0.0427285918423414,-0.6002739137974137,-0.2676159372518131,0.13157693560506648,-0.2631481028519129,-0.49872166429484793,-0.42339506721736037,0.6016029613038404,0.43660441062224525,0.2145605510343626,0.2500552670117796,-0.3347038108670825,-0.7738145853757565,-0.46314752374120227,-0.6649590135989298,-0.3347038108670825,-0.7738145853757565,-0.46314752374120227,-0.6649590135989298,1,1,1,1
4771,0.8948693063117896,0.8849994242568802,0.8109753088450593,0.7731407609679065,0.057965408505546226,-0.0427285918423414,-0.6480280509981323,-0.2676159372518131,0.13157693560506648,-0.2631481028519129,-0.48280091281512033,-0.4001474762479448,0.6016029613038404,0.43660441062224525,0.20817288877555892,0.2853750767334504,-0.3347038108670825,-0.7738145853757565,-0.44935992361048915,-0.6343095313773346,-0.3347038108670825,-0.7738145853757565,-0.44935992361048915,-0.6343095313773346,1,1,1,1
4920,0.9113191097366387,0.8537447977496669,0.8109753088450593,0.8027504071326348,0.057965408505546226,-0.0427285918423414,-0.6792831366462776,-0.2676159372518131,0.13157693560506648,-0.2631481028519129,-0.4681414601158008,-0.37669990958107413,0.6016029613038404,0.43660441062224525,0.2005435412268792,0.3647066950919069,-0.3347038108670825,-0.7738145853757565,-0.43541707079249886,-0.6052164299410175,-0.3347038108670825,-0.7738145853757565,-0.43541707079249886,-0.6052164299410175,1,1,1,1
4978,0.8981592669967595,0.8455198960372424,0.8093303285025745,0.8076853481600895,0.057965408505546226,-0.0427285918423414,-0.6876898579485273,-0.2676159372518131,0.13157693560506648,-0.2631481028519129,-0.45614086528091335,-0.3535263788427699,0.6016029613038404,0.43660441062224525,0.1914445531105101,0.4989951541565252,-0.3347038108670825,-0.7738145853757565,-0.4215910227615356,-0.5783459197673233,-0.3347038108670825,-0.7738145853757565,-0.4215910227615356,-0.5783459197673233,1,1,1,1
5144,0.9327038541889425,0.8570347584346367,0.8224901712424537,0.8224901712424537,0.057965408505546226,0.10345629615661281,-0.6797761990255778,-0.2676159372518131,0.13157693560506648,-0.3305854079163204,-0.44651155629339256,-0.33622600340373743,0.6016029613038404,1.2299106292927733,0.17851105265678507,0.6519465013519795,-0.3347038108670825,-0.7835737569983853,-0.4091403923551377,-0.5564749026825588,-0.3347038108670825,-0.7835737569983853,-0.4091403923551377,-0.5564749026825588,1,1,1,1
5202,0.9113191097366387,0.8471648763797273,0.8142652695300292,0.8208451908999688,0.057965408505546226,0.10345629615661281,-0.6527262106660952,-0.2676159372518131,0.13157693560506648,-0.3280981741085727,-0.4387274513174476,-0.3276435951240982,0.6016029613038404,1.240614922217815,0.15650681430687452,0.7834216833704808,-0.3347038108670825,-0.7772996071527238,-0.39914804231463136,-0.5418508397325271,-0.3347038108670825,-0.7772996071527238,-0.39914804231463136,-0.5418508397325271,1,1,1,1
5287,0.9096741293941538,0.8537447977496669,0.8126202891875443,0.8241351515849387,0.3297270778041775,0.10345629615661281,-0.6352591765993851,-0.2770706288525761,0.18083339590277486,-0.32042271002601785,-0.43162663761591047,-0.327190333320941,0.7138767758728201,1.2359132064701295,0.1200135552272961,0.8768012166308412,0.043709092636559616,-0.7836231501655698,-0.3917130812447216,-0.5339031410391486,0.043709092636559616,-0.7836231501655698,-0.3917130812447216,-0.5339031410391486,1,1,1,1
5432,0.8948693063117896,0.8438749156947576,0.8126202891875443,0.8389399746673027,0.333613161902865,0.10712332901253409,-0.6352591765993851,-0.2777613007311746,0.15906839480146143,-0.30539574425686594,-0.42546756724598395,-0.33115849683107007,0.658454453949433,1.2211616601888071,0.06692980854075815,0.9323616639878753,0.01468160496181916,-0.7988163438268994,-0.38718414238180415,-0.5307155674122068,0.01468160496181916,-0.7988163438268994,-0.38718414238180415,-0.5307155674122068,1,1,1,1
5492,0.9211889917915481,0.8570347584346367,0.8142652695300292,0.8307150729548782,0.333613161902865,0.13250126484230826,-0.6109321493168068,-0.2777613007311746,0.13649082891225278,-0.2865047848720103,-0.42174121953739374,-0.33566587851414414,0.606404335324509,1.1997992120125798,-4.163305693259331E-4,0.9585470241038322,-0.009798944126399083,-0.8166206591886023,-0.385783037257442,-0.5308758308305938,-0.009798944126399083,-0.8166206591886023,-0.385783037257442,-0.5308758308305938,1,1,1,1
5603,0.8981592669967595,0.8471648763797273,0.8208451908999688,0.8323600532973632,0.333613161902865,0.17125158867447887,-0.5631850928391617,-0.2777613007311746,0.12023935325343878,-0.2686038758023882,-0.42224092381520273,-0.3402180352389979,0.5686717280491189,1.1732727567946897,-0.0794256414246249,0.9657446004374858,-0.025699214708955486,-0.8285914631622434,-0.3871353000435241,-0.5351154344014595,-0.025699214708955486,-0.8285914631622434,-0.3871353000435241,-0.5351154344014595,1,1,1,1
5732,0.7978154661051802,0.7501110361731178,0.8340050336398481,0.7056965669260253,0.333613161902865,0.23244008788848078,-0.5318217508987467,-0.2749777787545816,0.11257905528488214,-0.25832578518897087,-0.4281283190358605,-0.34765152421498574,0.5423361310821617,1.1441427718557975,-0.16683288793148973,0.9627351370539138,-0.03415100809714125,-0.8314005024395765,-0.39183756211766024,-0.5440006390519347,-0.03415100809714125,-0.8314005024395765,-0.39183756211766024,-0.5440006390519347,1,1,1,1
5813,0.9343488345314275,0.8965142866542746,0.7517560165156028,0.7698508002829367,0.333613161902865,0.23244008788848078,-0.5436261534530521,-0.2749777787545816,0.11257905528488214,-0.25832578518897087,-0.4290293865944275,-0.361372052874866,0.5423361310821617,1.1441427718557975,-0.24206734350057588,0.9846775608025574,-0.03415100809714125,-0.8314005024395765,-0.3940471236447904,-0.549128035289345,-0.03415100809714125,-0.8314005024395765,-0.3940471236447904,-0.549128035289345,1,1,1,1
5896,0.9820532644634897,0.9392837755588821,0.71063150795348,0.6431873139115989,0.333613161902865,0.23244008788848078,-0.5541799244480655,-0.3239754425566816,0.11257905528488214,-0.25832578518897087,-0.43523816001961324,-0.3883824704234589,0.5423361310821617,1.1441427718557975,-0.3169608268147116,1.009267426680804,-0.03415100809714125,-0.8314005024395765,-0.40596821709446856,-0.5637540480012934,-0.03415100809714125,-0.8314005024395765,-0.40596821709446856,-0.5637540480012934,1,1,1,1
6046,0.942573736243852,0.9557335789837312,0.7978154661051802,0.8455198960372424,0.333613161902865,0.23244008788848078,-0.5541799244480655,-0.41276883229322037,0.11257905528488214,-0.25832578518897087,-0.4451172370819137,-0.4224972220438869,0.5423361310821617,1.1441427718557975,-0.37467117107580655,1.0365893792567569,-0.03415100809714125,-0.8314005024395765,-0.42750624897083894,-0.584353241201648,-0.03415100809714125,-0.8314005024395765,-0.42750624897083894,-0.584353241201648,1,1,1,1
6108,0.9376387952163973,0.9211889917915481,0.8159102498725141,0.9080291490516689,0.333613161902865,0.23244008788848078,-0.5572012283997803,-0.5280050519652398,0.11257905528488214,-0.2532451491041705,-0.45614777567526593,-0.4533950916523753,0.5423361310821617,1.158870060328755,-0.4033764037351187,1.0670200381771033,-0.03415100809714125,-0.848106552579453,-0.45597762161268945,-0.6054930460412422,-0.03415100809714125,-0.848106552579453,-0.45597762161268945,-0.6054930460412422,1,1,1,1
6232,0.9211889917915481,0.8603247191196066,0.8257801319274235,1.0264677337105823,0.333613161902865,0.23244008788848078,-0.5597199618710893,-0.5815331149769218,0.11257905528488214,-0.24534673457687517,-0.46808115874002215,-0.4773888071540572,0.5423361310821617,1.1664519422926622,-0.40380381348845346,1.1001044295627878,-0.03415100809714125,-0.852094924479916,-0.48688076294074245,-0.6248164828349053,-0.03415100809714125,-0.852094924479916,-0.48688076294074245,-0.6248164828349053,1,1,1,1
6295,0.9162540507640935,0.8586797387771217,0.8471648763797273,1.0215327926831275,0.32284295673141455,0.23244008788848078,-0.5789603715619036,-0.6179344824494925,0.11998839999326068,-0.23468530550767164,-0.4822111452226667,-0.49794580508143166,0.5019616116468159,1.1622264966442077,-0.38916696659146305,1.1330956570168125,-0.04880499824044969,-0.8477413672473902,-0.5160818893831313,-0.6449740712416379,-0.04880499824044969,-0.8477413672473902,-0.5160818893831313,-0.6449740712416379,1,1,1,1
6402,0.9294138935039726,0.8537447977496669,0.8340050336398481,0.9902781661759142,0.289141240239691,0.2233025934510658,-0.5852352335566476,-0.6429871161080055,0.11408390637795549,-0.22288714484980487,-0.4993324094898287,-0.5242144554709797,0.44564329967443184,1.141065154589683,-0.3704935150054187,1.158183559746999,-0.0724036045482976,-0.8460760994954345,-0.5423374260440165,-0.674820260781338,-0.0724036045482976,-0.8460760994954345,-0.5423374260440165,-0.674820260781338,1,1,1,1
6548,0.8882893849418501,0.8405849550097877,0.8224901712424537,0.924478952476518,0.1955018582128014,0.18301162957708036,-0.605625355583807,-0.6658686852830537,0.09104185494187099,-0.21165093190443401,-0.5165440821564927,-0.5627568902134258,0.3652687016129294,1.0991680476603503,-0.35453379863205414,1.161137540718896,-0.10427499074614828,-0.8580372574884882,-0.5676354645576785,-0.7187064554289831,-0.10427499074614828,-0.8580372574884882,-0.5676354645576785,-0.7187064554289831,1,1,1,1
