Time ms,AlphaAbs1,AlphaAbs2,AlphaAbs3,AlphaAbs4, Horseshoe 
4,,,,,4,4,4,4
163,,,,,4,4,4,4
218,,,,,4,4,4,4
310,,,,,4,4,4,4
466,,,,,4,4,4,4
521,,,,,4,4,4,4
610,,,,,4,4,4,4
767,,,,,4,4,4,4
816,,,,,4,4,4,4
952,,,,,4,4,4,4
1026,,,,,4,4,4,4
1100,,,,,4,4,4,4
1260,,,,,4,4,4,4
1311,,,,,4,4,4,4
1407,,,,,4,4,4,4
1527,,,,,2,1,1,2
1624,,,,,2,1,1,2
1740,,,,,2,1,1,2
1834,,,,,2,1,1,2
1910,,,,,2,1,1,2
2049,,,,,2,1,1,2
2151,,,,,2,1,1,2
2205,,,,,2,1,1,2
2346,,,,,2,1,1,2
2445,,,,,2,1,1,2
2498,,,,,2,1,1,2
2642,,,,,2,1,1,2
2741,,,,,1,1,1,1
2840,,,,,1,1,1,1
2946,,,,,1,1,1,1
3002,-0.0817078952732738,0.14727839102822476,0.3176765421265993,0.3825453304590876
3003,,,,,1,1,1,1
3149,-0.04411207713695821,0.14727839102822476,0.3176765421265993,0.3825453304590876
3149,,,,,1,1,1,1
3226,0.0288916237752007,0.14727839102822476,0.3176765421265993,0.3825453304590876
3226,,,,,1,1,1,1
3302,0.07385314404236817,0.14727839102822476,0.3176765421265993,0.3825453304590876
3303,,,,,1,1,1,1
3448,0.086244253505115,0.14727839102822476,0.3176765421265993,0.3825453304590876
3451,,,,,1,1,1,1
3526,0.09392774686945486,0.14462484478030013,0.3176765421265993,0.3825453304590876
3526,,,,,1,1,1,1
3607,0.10653989761473161,0.14421236108793217,0.3176765421265993,0.3825453304590876
3608,,,,,1,1,1,1
3730,0.13085669139705644,0.14421236108793217,0.3176765421265993,0.3825453304590876
3730,,,,,1,1,1,1
3814,0.16241596301225072,0.12122418870614025,0.3176765421265993,0.3825453304590876
3814,,,,,1,1,1,1
3962,0.2067150375805665,0.07500238655469839,0.3176765421265993,0.36295633894646484
3969,,,,,1,1,1,1
4026,0.2671518121880352,-0.012617534908196814,0.3176765421265993,0.32523849340281674
4027,,,,,1,1,1,1
4108,0.30598855393916297,-0.10287895323410766,0.3176765421265993,0.2652907770756084
4109,,,,,1,1,1,1
4275,0.30572461428419195,-0.1675760807537157,0.3176765421265993,0.15782950451628508
4276,,,,,1,1,1,1
4311,0.29573187624943764,-0.19410060259024767,0.3176765421265993,0.06908716509043787
4311,,,,,1,1,1,1
4418,0.28007627231519594,-0.22195745818164375,0.3176765421265993,0.04622498375055076
4420,,,,,1,1,1,1
4567,0.2781436936691287,-0.23190823368519914,0.3176765421265993,0.03286715207274795
4568,,,,,1,1,1,1
4603,0.2781436936691287,-0.23190823368519914,0.3176765421265993,0.01278807782332578
4604,,,,,1,1,1,1
4687,0.2781436936691287,-0.23190823368519914,0.3176765421265993,-0.02063946749520176
4688,,,,,1,1,1,1
4838,0.2771387513270184,-0.23190823368519914,0.3176765421265993,-0.03482563995568135
4838,,,,,1,1,1,1
4915,0.25611683440742483,-0.23190823368519914,0.3176765421265993,-0.02342730906248795
4916,,,,,1,1,1,1
5038,0.23645181520652775,-0.23190823368519914,0.3176765421265993,-0.0206064029766183
5039,,,,,1,1,1,1
5142,0.2363104942386304,-0.23622412420178054,0.3176765421265993,-0.013026615606225086
5143,,,,,1,1,1,1
5202,0.2363104942386304,-0.24587722013069904,0.3176765421265993,0.009355617634214277
5203,,,,,1,1,1,1
5344,0.2363104942386304,-0.2489910087888587,0.3176765421265993,0.037656218555342985
5345,,,,,1,1,1,1
5404,0.2363104942386304,-0.25607507212169295,0.3176765421265993,0.05575182084436193
5405,,,,,1,1,1,1
5501,0.2363104942386304,-0.25191009099091405,0.3176765421265993,0.05575182084436193
5502,,,,,1,1,1,1
5652,0.20751294018422792,-0.2584147968018196,0.3176765421265993,0.05575182084436193
5653,,,,,1,1,1,1
5711,0.09915913744812793,-0.2733257477344163,0.3176765421265993,0.05575182084436193
